rot,"255,0,0"
dunkelrot,"139,0,0"
helles_korallrot,"240,128,128"
feuerrot,"178,34,34"
braun,"165,42,42"
indisch_rot,"205,92,92"
dunkles_rosa,"188,143,143"
kastanienbraun,"128,0,0"
helles_rosa,"255,228,225"
lachsrosa,"250,128,114"
tomatenrot,"255,99,71"
dunkles_lachsrosa,"233,150,122"
korallenrot,"255,127,80"
orangerot,"255,69,0"
helles_lachsrosa,"255,160,122"
siennabraun,"160,82,45"
schokoladenbraun,"210,105,30"
umbra,"139,69,19"
muschelschale,"255,245,238"
pfirsichrosa,"255,218,185"
sandbraun,"244,164,96"
leinen,"250,240,230"
braun,"205,133,63"
biskuit,"255,228,196"
dunkles_orange,"255,140,0"
altweiss,"250,235,215"
hautfarben,"210,180,140"
blasses_orange,"222,184,135"
mandelfarben,"255,235,205"
blasses_orangegelb,"255,222,173"
helles_orangegelb,"255,239,213"
helles_orange,"255,228,181"
weizengelb,"245,222,179"
orange,"255,165,0"
bluetenweiss,"255,250,240"
goldrute,"218,165,32"
dunkle_goldrute,"184,134,11"
helles_maisgelb,"255,248,220"
gold,"255,215,0"
erdfarben,"240,230,140"
zartes_zitronengelb,"255,250,205"
blasse_goldrute,"238,232,170"
dunkler_erdton,"189,183,107"
beige,"245,245,220"
helles_blasses_gelb,"250,250,210"
elfenbein,"255,255,240"
hellgelb,"255,255,224"
gelb,"255,255,0"
olive,"128,128,0"
gelbgruen,"154,205,50"
graugruen,"107,142,35"
dunkles_olivgruen,"85,107,47"
rasenflaechengruen,"124,252,0"
gelbgruen,"127,255,0"
gruen-gelb,"173,255,47"
honigmelone,"240,255,240"
dunkles_seegruen,"143,188,143"
blasses_gruen,"152,251,152"
hellgruen,"144,238,144"
waldgruen,"34,139,34"
hellgruen,"50,205,50"
dunkelgruen,"0,100,0"
gruen,"0,128,0"
seegruen,"46,139,87"
mittleres_seegruen,"60,179,113"
fruehlingsgruen,"0,255,127"
pfefferminzcreme,"245,255,250"
mittleres_fruehlingsgruen,"0,250,154"
mittleres_blaugruen,"102,205,170"
aquamarin,"127,255,212"
mittleres_tuerkis,"72,209,204"
helles_seegruen,"32,178,170"
tuerkis,"64,224,208"
azurblau,"240,255,255"
hellblau,"224,255,255"
blasse_goldrute,"238,232,170"
dunkel_schiefergrau,"47,79,79"
hellblau,"173,216,230"
puderblau,"176,224,230"
blasses_tuerkis,"175,238,238"
tiefes_himmelblau,"0,191,255"
kobaltblau,"30,144,255"
kornblumenblau,"100,149,237"
stahlblau,"70,130,180"
helles_stahlblau,"176,196,222"
alice-blau,"240,248,255"
kadettenblau,"95,158,160"
hellblau,"173,216,230"
himmelblau,"135,206,235"
helles_himmelblau,"135,206,250"
schiefergrau,"112,128,144"
helles_cyan,"224,255,255"
dunkles_tuerkis,"0,206,209"
aqua,"0,255,255"
cyan,"0,255,255"
gruenblau,"0,128,128"
dunkles_cyan,"0,139,139"
helles_seegruen,"32,178,170"
dunkel_schiefergrau,"47,79,79"
helles_stahlblau,"176,196,222"
mittleres_blau,"0,0,205"
dunkelblau,"0,0,139"
blau,"0,0,255"
marineblau,"0,0,128"
mitternachtsblau,"25,25,112"
mittleres_schieferblau,"123,104,238"
geisterweiss,"248,248,255"
lavendel,"230,230,250"
mittleres_purpur,"147,112,219"
blauviolett,"138,43,226"
dunkelviolett,"148,0,211"
dunkle_orchidee,"153,50,204"
mittlere_orchidee,"186,85,211"
distel,"216,191,216"
pflaume,"221,160,221"
violett,"238,130,238"
purpur,"128,0,128"
dunkles_magenta,"139,0,139"
magenta,"255,0,255"
orchidee,"218,112,214"
mittleres_violettrot,"199,21,133"
tiefrosa,"255,20,147"
knallrosa,"255,105,180"
lavendelrosa,"255,240,245"
blasses_violettrot,"219,112,147"
karmesin,"220,20,60"
rosa,"255,192,203"
hellrosa,"255,182,193"
indigo,"75,0,130"
rebeccapurple,"102,51,153"
dunkles_schieferblau,"72,61,139"
schieferblau,"106,90,205"
mittleres_schieferblau,"123,104,238"
weiss,"255,255,255"
schnee,"255,250,250"
rauchweiss,"245,245,245"
helles_grau,"220,220,220"
hellgrau,"211,211,211"
silber,"192,192,192"
dunkelgrau,"169,169,169"
grau,"128,128,128"
mattgrau,"105,105,105"
schwarz,"0,0,0"
